year,city,country,avg_temp
1743,Copenhagen,Denmark,6.37
1744,Copenhagen,Denmark,9.29
1745,Copenhagen,Denmark,0.09
1746,Copenhagen,Denmark,
1747,Copenhagen,Denmark,
1748,Copenhagen,Denmark,
1749,Copenhagen,Denmark,
1750,Copenhagen,Denmark,8.89
1751,Copenhagen,Denmark,8.33
1752,Copenhagen,Denmark,4.22
1753,Copenhagen,Denmark,7.61
1754,Copenhagen,Denmark,7.46
1755,Copenhagen,Denmark,7.28
1756,Copenhagen,Denmark,8.15
1757,Copenhagen,Denmark,8.16
1758,Copenhagen,Denmark,7.17
1759,Copenhagen,Denmark,8.28
1760,Copenhagen,Denmark,7.83
1761,Copenhagen,Denmark,8.54
1762,Copenhagen,Denmark,7.39
1763,Copenhagen,Denmark,7.33
1764,Copenhagen,Denmark,7.82
1765,Copenhagen,Denmark,7.43
1766,Copenhagen,Denmark,8.03
1767,Copenhagen,Denmark,7.14
1768,Copenhagen,Denmark,7.19
1769,Copenhagen,Denmark,7.60
1770,Copenhagen,Denmark,7.60
1771,Copenhagen,Denmark,6.65
1772,Copenhagen,Denmark,7.62
1773,Copenhagen,Denmark,8.64
1774,Copenhagen,Denmark,7.16
1775,Copenhagen,Denmark,8.87
1776,Copenhagen,Denmark,7.73
1777,Copenhagen,Denmark,7.34
1778,Copenhagen,Denmark,8.15
1779,Copenhagen,Denmark,9.55
1780,Copenhagen,Denmark,7.78
1781,Copenhagen,Denmark,8.82
1782,Copenhagen,Denmark,7.13
1783,Copenhagen,Denmark,8.70
1784,Copenhagen,Denmark,6.47
1785,Copenhagen,Denmark,6.61
1786,Copenhagen,Denmark,6.56
1787,Copenhagen,Denmark,8.01
1788,Copenhagen,Denmark,7.30
1789,Copenhagen,Denmark,8.11
1790,Copenhagen,Denmark,8.13
1791,Copenhagen,Denmark,8.51
1792,Copenhagen,Denmark,7.91
1793,Copenhagen,Denmark,8.12
1794,Copenhagen,Denmark,8.93
1795,Copenhagen,Denmark,7.49
1796,Copenhagen,Denmark,8.10
1797,Copenhagen,Denmark,8.91
1798,Copenhagen,Denmark,8.58
1799,Copenhagen,Denmark,5.89
1800,Copenhagen,Denmark,7.33
1801,Copenhagen,Denmark,8.43
1802,Copenhagen,Denmark,7.78
1803,Copenhagen,Denmark,6.99
1804,Copenhagen,Denmark,7.35
1805,Copenhagen,Denmark,6.38
1806,Copenhagen,Denmark,8.20
1807,Copenhagen,Denmark,7.99
1808,Copenhagen,Denmark,7.42
1809,Copenhagen,Denmark,7.39
1810,Copenhagen,Denmark,7.31
1811,Copenhagen,Denmark,8.77
1812,Copenhagen,Denmark,6.44
1813,Copenhagen,Denmark,7.85
1814,Copenhagen,Denmark,6.43
1815,Copenhagen,Denmark,7.51
1816,Copenhagen,Denmark,6.73
1817,Copenhagen,Denmark,7.82
1818,Copenhagen,Denmark,8.20
1819,Copenhagen,Denmark,8.52
1820,Copenhagen,Denmark,6.93
1821,Copenhagen,Denmark,7.95
1822,Copenhagen,Denmark,9.19
1823,Copenhagen,Denmark,7.35
1824,Copenhagen,Denmark,8.58
1825,Copenhagen,Denmark,8.42
1826,Copenhagen,Denmark,8.77
1827,Copenhagen,Denmark,7.87
1828,Copenhagen,Denmark,7.99
1829,Copenhagen,Denmark,5.77
1830,Copenhagen,Denmark,7.04
1831,Copenhagen,Denmark,8.15
1832,Copenhagen,Denmark,7.64
1833,Copenhagen,Denmark,7.83
1834,Copenhagen,Denmark,9.20
1835,Copenhagen,Denmark,7.89
1836,Copenhagen,Denmark,7.65
1837,Copenhagen,Denmark,7.27
1838,Copenhagen,Denmark,6.05
1839,Copenhagen,Denmark,7.26
1840,Copenhagen,Denmark,6.76
1841,Copenhagen,Denmark,7.62
1842,Copenhagen,Denmark,8.22
1843,Copenhagen,Denmark,8.11
1844,Copenhagen,Denmark,6.72
1845,Copenhagen,Denmark,6.89
1846,Copenhagen,Denmark,9.02
1847,Copenhagen,Denmark,7.51
1848,Copenhagen,Denmark,7.75
1849,Copenhagen,Denmark,7.04
1850,Copenhagen,Denmark,7.30
1851,Copenhagen,Denmark,7.76
1852,Copenhagen,Denmark,8.33
